time,n_replica,cpu_req_core,mem_req_KB,cpu_lim_core,mem_lim_KB,cpu_use_core,mem_use_KB
0.0,5,2.500,3840000,6.250,10485760,0.358600046,2560796
5.23,5,2.500,3840000,6.250,10485760,0.358600046,2560796
10.4,5,2.500,3840000,6.250,10485760,0.344248277,2561472
15.59,5,2.500,3840000,6.250,10485760,0.344248277,2561472
20.78,5,2.500,3840000,6.250,10485760,0.344248277,2561472
25.99,5,2.500,3840000,6.250,10485760,0.475833046,2566028
31.19,5,2.500,3840000,6.250,10485760,0.475833046,2566028
36.37,5,2.500,3840000,6.250,10485760,0.475833046,2566028
41.57,5,2.500,3840000,6.250,10485760,0.363408907,2548060
46.74,5,2.500,3840000,6.250,10485760,0.363408907,2548060
51.95,5,2.500,3840000,6.250,10485760,0.403705061,2562876
57.21,5,2.500,3840000,6.250,10485760,0.403705061,2562876
62.36,5,2.500,3840000,6.250,10485760,0.403705061,2562876
67.52,5,2.500,3840000,6.250,10485760,0.389056603,2530044
72.68,5,2.500,3840000,6.250,10485760,0.389056603,2530044
77.86,5,2.500,3840000,6.250,10485760,0.389056603,2530044
83.03,5,2.500,3840000,6.250,10485760,0.402569435,2541708
88.22,5,2.500,3840000,6.250,10485760,0.402569435,2541708
93.48,5,2.500,3840000,6.250,10485760,0.402569435,2541708
98.65,5,2.500,3840000,6.250,10485760,0.421010452,2571408
103.83,5,2.500,3840000,6.250,10485760,0.421010452,2571408
109.0,5,2.500,3840000,6.250,10485760,0.421010452,2571408
114.2,5,2.500,3840000,6.250,10485760,0.434384710,2595904
119.38,5,2.500,3840000,6.250,10485760,0.434384710,2595904
124.56,5,2.500,3840000,6.250,10485760,0.434384710,2595904
129.73,5,2.500,3840000,6.250,10485760,0.446546596,2603088
134.96,5,2.500,3840000,6.250,10485760,0.446546596,2603088
140.14,5,2.500,3840000,6.250,10485760,0.446546596,2603088
145.33,5,2.500,3840000,6.250,10485760,0.406385991,2619852
150.5,5,2.500,3840000,6.250,10485760,0.406385991,2619852
155.74,5,2.500,3840000,6.250,10485760,0.406385991,2619852
160.9,5,2.500,3840000,6.250,10485760,0.408861313,2606332
166.06,5,2.500,3840000,6.250,10485760,0.408861313,2606332
171.25,5,2.500,3840000,6.250,10485760,0.408861313,2606332
176.41,5,2.500,3840000,6.250,10485760,0.423382043,2583088
181.61,5,2.500,3840000,6.250,10485760,0.423382043,2583088
186.78,5,2.500,3840000,6.250,10485760,0.423382043,2583088
192.06,5,2.500,3840000,6.250,10485760,0.400327329,2615168
197.24,5,2.500,3840000,6.250,10485760,0.400327329,2615168
202.44,5,2.500,3840000,6.250,10485760,0.423651937,2637464
207.63,5,2.500,3840000,6.250,10485760,0.423651937,2637464
212.85,5,2.500,3840000,6.250,10485760,0.423651937,2637464
218.01,5,2.500,3840000,6.250,10485760,0.428721169,2666260
223.19,5,2.500,3840000,6.250,10485760,0.428721169,2666260
228.35,5,2.500,3840000,6.250,10485760,0.428721169,2666260
233.55,5,2.500,3840000,6.250,10485760,0.413394425,2669728
238.71,5,2.500,3840000,6.250,10485760,0.413394425,2669728
243.88,5,2.500,3840000,6.250,10485760,0.413394425,2669728
249.09,5,2.500,3840000,6.250,10485760,0.392937065,2677628
254.27,5,2.500,3840000,6.250,10485760,0.392937065,2677628
259.43,5,2.500,3840000,6.250,10485760,0.392937065,2677628
264.62,5,2.500,3840000,6.250,10485760,0.510975492,2666280
269.81,5,2.500,3840000,6.250,10485760,0.510975492,2666280
274.97,5,2.500,3840000,6.250,10485760,0.510975492,2666280
280.15,5,2.500,3840000,6.250,10485760,0.371447851,2704288
285.33,5,2.500,3840000,6.250,10485760,0.371447851,2704288
290.57,5,2.500,3840000,6.250,10485760,0.371447851,2704288
295.72,5,2.500,3840000,6.250,10485760,0.407320140,2617684
300.88,5,2.500,3840000,6.250,10485760,0.407320140,2617684
306.05,5,2.500,3840000,6.250,10485760,0.407320140,2617684
311.26,5,2.500,3840000,6.250,10485760,0.432038281,2638868
316.44,5,2.500,3840000,6.250,10485760,0.432038281,2638868
321.61,5,2.500,3840000,6.250,10485760,0.432038281,2638868
326.93,5,2.500,3840000,6.250,10485760,0.489939888,2665628
332.13,5,2.500,3840000,6.250,10485760,0.489939888,2665628
337.28,5,2.500,3840000,6.250,10485760,0.492026178,2675648
342.46,5,2.500,3840000,6.250,10485760,0.492026178,2675648
347.69,5,2.500,3840000,6.250,10485760,0.492026178,2675648
352.86,5,2.500,3840000,6.250,10485760,0.466519533,2681964
358.03,5,2.500,3840000,6.250,10485760,0.466519533,2681964
363.19,5,2.500,3840000,6.250,10485760,0.466519533,2681964
368.42,5,2.500,3840000,6.250,10485760,0.392953305,2700020
373.63,5,2.500,3840000,6.250,10485760,0.392953305,2700020
378.79,5,2.500,3840000,6.250,10485760,0.392953305,2700020
383.94,5,2.500,3840000,6.250,10485760,0.490257810,2711812
389.14,5,2.500,3840000,6.250,10485760,0.490257810,2711812
394.28,5,2.500,3840000,6.250,10485760,0.490257810,2711812
399.42,5,2.500,3840000,6.250,10485760,0.472217343,2678360
404.6,5,2.500,3840000,6.250,10485760,0.472217343,2678360
409.76,5,2.500,3840000,6.250,10485760,0.472217343,2678360
414.99,5,2.500,3840000,6.250,10485760,0.411484195,2755980
420.17,5,2.500,3840000,6.250,10485760,0.411484195,2755980
425.4,5,2.500,3840000,6.250,10485760,0.411484195,2755980
430.58,5,2.500,3840000,6.250,10485760,0.482697166,2768600
435.76,5,2.500,3840000,6.250,10485760,0.482697166,2768600
440.92,5,2.500,3840000,6.250,10485760,0.482697166,2768600
446.19,5,2.500,3840000,6.250,10485760,0.552091814,2783912
451.35,5,2.500,3840000,6.250,10485760,0.552091814,2783912
456.5,5,2.500,3840000,6.250,10485760,0.552091814,2783912
461.75,5,2.500,3840000,6.250,10485760,0.447847082,2791796
466.97,5,2.500,3840000,6.250,10485760,0.447847082,2791796
472.17,5,2.500,3840000,6.250,10485760,0.504220692,2812344
477.36,5,2.500,3840000,6.250,10485760,0.504220692,2812344
482.58,5,2.500,3840000,6.250,10485760,0.504220692,2812344
487.74,5,2.500,3840000,6.250,10485760,0.552600975,2813528
492.93,5,2.500,3840000,6.250,10485760,0.552600975,2813528
498.12,5,2.500,3840000,6.250,10485760,0.552600975,2813528
503.36,5,2.500,3840000,6.250,10485760,0.458745987,2775832
508.55,5,2.500,3840000,6.250,10485760,0.458745987,2775832
513.78,5,2.500,3840000,6.250,10485760,0.458745987,2775832
518.94,5,2.500,3840000,6.250,10485760,0.502248674,2810864
524.18,5,2.500,3840000,6.250,10485760,0.502248674,2810864
529.34,5,2.500,3840000,6.250,10485760,0.502248674,2810864
534.51,5,2.500,3840000,6.250,10485760,0.505778608,2834608
539.66,5,2.500,3840000,6.250,10485760,0.505778608,2834608
545.04,5,2.500,3840000,6.250,10485760,0.505778608,2834608
550.22,5,2.500,3840000,6.250,10485760,0.375925123,2842912
555.38,5,2.500,3840000,6.250,10485760,0.375925123,2842912
560.61,5,2.500,3840000,6.250,10485760,0.375925123,2842912
565.78,5,2.500,3840000,6.250,10485760,0.528393923,2849580
570.94,5,2.500,3840000,6.250,10485760,0.528393923,2849580
576.14,5,2.500,3840000,6.250,10485760,0.528393923,2849580
581.32,5,2.500,3840000,6.250,10485760,0.529735354,2827304
586.49,5,2.500,3840000,6.250,10485760,0.529735354,2827304
591.69,5,2.500,3840000,6.250,10485760,0.529735354,2827304
596.88,5,2.500,3840000,6.250,10485760,0.455846229,2823652
602.15,5,2.500,3840000,6.250,10485760,0.455846229,2823652
607.3,5,2.500,3840000,6.250,10485760,0.434567275,2819684
612.47,5,2.500,3840000,6.250,10485760,0.434567275,2819684
617.65,5,2.500,3840000,6.250,10485760,0.434567275,2819684
622.83,5,2.500,3840000,6.250,10485760,0.929169553,2877568
627.99,5,2.500,3840000,6.250,10485760,0.929169553,2877568
633.15,5,2.500,3840000,6.250,10485760,0.929169553,2877568
638.4,5,2.500,3840000,6.250,10485760,0.976267397,2951620
643.55,5,2.500,3840000,6.250,10485760,0.976267397,2951620
648.71,5,2.500,3840000,6.250,10485760,0.976267397,2951620
653.86,5,2.500,3840000,6.250,10485760,1.096459852,2946728
659.09,5,2.500,3840000,6.250,10485760,1.096459852,2946728
664.26,5,2.500,3840000,6.250,10485760,1.096459852,2946728
669.43,5,2.500,3840000,6.250,10485760,0.866466432,3017744
674.65,5,2.500,3840000,6.250,10485760,0.866466432,3017744
679.93,5,2.500,3840000,6.250,10485760,0.866466432,3017744
685.1,5,2.500,3840000,6.250,10485760,1.145048677,3069724
690.27,5,2.500,3840000,6.250,10485760,1.145048677,3069724
695.47,5,2.500,3840000,6.250,10485760,1.145048677,3069724
700.68,5,2.500,3840000,6.250,10485760,1.071094798,3025124
705.85,5,2.500,3840000,6.250,10485760,1.071094798,3025124
711.01,5,2.500,3840000,6.250,10485760,1.071094798,3025124
716.28,5,2.500,3840000,6.250,10485760,0.918031348,3126888
721.48,5,2.500,3840000,6.250,10485760,0.918031348,3126888
726.65,5,2.500,3840000,6.250,10485760,0.918031348,3126888
731.9,5,2.500,3840000,6.250,10485760,1.112736850,3190688
737.15,5,2.500,3840000,6.250,10485760,1.112736850,3190688
742.34,5,2.500,3840000,6.250,10485760,1.082758540,3138160
747.54,5,2.500,3840000,6.250,10485760,1.082758540,3138160
752.74,5,2.500,3840000,6.250,10485760,1.082758540,3138160
757.94,5,2.500,3840000,6.250,10485760,0.918900475,3181908
763.09,5,2.500,3840000,6.250,10485760,0.918900475,3181908
768.24,5,2.500,3840000,6.250,10485760,0.918900475,3181908
773.45,5,2.500,3840000,6.250,10485760,0.939781273,3270516
778.66,5,2.500,3840000,6.250,10485760,0.939781273,3270516
783.87,5,2.500,3840000,6.250,10485760,0.939781273,3270516
789.04,5,2.500,3840000,6.250,10485760,0.828617582,3298048
794.29,5,2.500,3840000,6.250,10485760,0.828617582,3298048
799.52,5,2.500,3840000,6.250,10485760,0.828617582,3298048
804.67,5,2.500,3840000,6.250,10485760,0.966260579,3252024
809.85,5,2.500,3840000,6.250,10485760,0.966260579,3252024
815.08,5,2.500,3840000,6.250,10485760,0.966260579,3252024
820.27,5,2.500,3840000,6.250,10485760,0.976804330,3276560
825.43,5,2.500,3840000,6.250,10485760,0.976804330,3276560
830.63,5,2.500,3840000,6.250,10485760,0.976804330,3276560
835.88,5,2.500,3840000,6.250,10485760,0.993048317,3290920
841.04,5,2.500,3840000,6.250,10485760,0.993048317,3290920
846.27,5,2.500,3840000,6.250,10485760,0.993048317,3290920
851.53,5,2.500,3840000,6.250,10485760,0.986403137,3309724
856.7,5,2.500,3840000,6.250,10485760,0.986403137,3309724
861.89,5,2.500,3840000,6.250,10485760,0.986403137,3309724
867.06,5,2.500,3840000,6.250,10485760,1.040923007,3361440
872.32,5,2.500,3840000,6.250,10485760,1.040923007,3361440
877.47,5,2.500,3840000,6.250,10485760,0.987237555,3417740
882.66,5,2.500,3840000,6.250,10485760,0.987237555,3417740
887.85,5,2.500,3840000,6.250,10485760,0.987237555,3417740
893.13,5,2.500,3840000,6.250,10485760,0.978054371,3405168
898.3,5,2.500,3840000,6.250,10485760,0.978054371,3405168
903.48,5,2.500,3840000,6.250,10485760,0.978054371,3405168
908.66,5,2.500,3840000,6.250,10485760,0.881908174,3431980
913.87,5,2.500,3840000,6.250,10485760,0.881908174,3431980
919.06,5,2.500,3840000,6.250,10485760,0.881908174,3431980
924.27,5,2.500,3840000,6.250,10485760,2.144214954,3457772
929.55,5,2.500,3840000,6.250,10485760,2.144214954,3457772
