time,n_replica,cpu_req_core,mem_req_KB,cpu_lim_core,mem_lim_KB,cpu_use_core,mem_use_KB
0.0,5,2.000,2816000,5,9175040,0.211064682,1966988
5.21,5,2.000,2816000,5,9175040,0.211064682,1966988
10.4,5,2.000,2816000,5,9175040,0.191897256,1927328
15.57,5,2.000,2816000,5,9175040,0.191897256,1927328
20.79,5,2.000,2816000,5,9175040,0.264870196,1879992
26.0,5,2.000,2816000,5,9175040,0.264870196,1879992
31.19,5,2.000,2816000,5,9175040,0.264870196,1879992
36.44,5,2.000,2816000,5,9175040,0.246088693,1947560
41.64,5,2.000,2816000,5,9175040,0.246088693,1947560
46.81,5,2.000,2816000,5,9175040,0.246088693,1947560
52.04,5,2.000,2816000,5,9175040,0.214938914,1966172
57.23,5,2.000,2816000,5,9175040,0.214938914,1966172
62.42,5,2.000,2816000,5,9175040,0.214938914,1966172
67.6,5,2.000,2816000,5,9175040,0.245541992,1993860
72.77,5,2.000,2816000,5,9175040,0.245541992,1993860
77.98,5,2.000,2816000,5,9175040,0.245541992,1993860
83.18,5,2.000,2816000,5,9175040,0.263087541,2001040
88.4,5,2.000,2816000,5,9175040,0.263087541,2001040
93.66,5,2.000,2816000,5,9175040,0.263087541,2001040
98.85,5,2.000,2816000,5,9175040,0.235977024,2008720
104.03,5,2.000,2816000,5,9175040,0.235977024,2008720
109.21,5,2.000,2816000,5,9175040,0.235977024,2008720
114.46,5,2.000,2816000,5,9175040,0.284071011,2037252
119.66,5,2.000,2816000,5,9175040,0.284071011,2037252
124.84,5,2.000,2816000,5,9175040,0.284071011,2037252
130.01,5,2.000,2816000,5,9175040,0.277683187,2013572
135.24,5,2.000,2816000,5,9175040,0.277683187,2013572
140.4,5,2.000,2816000,5,9175040,0.277683187,2013572
145.57,5,2.000,2816000,5,9175040,0.241491084,1997404
150.76,5,2.000,2816000,5,9175040,0.241491084,1997404
155.97,5,2.000,2816000,5,9175040,0.217927213,2042564
161.14,5,2.000,2816000,5,9175040,0.217927213,2042564
166.32,5,2.000,2816000,5,9175040,0.217927213,2042564
171.55,5,2.000,2816000,5,9175040,0.297559618,2058872
176.73,5,2.000,2816000,5,9175040,0.297559618,2058872
181.94,5,2.000,2816000,5,9175040,0.297559618,2058872
187.16,5,2.000,2816000,5,9175040,0.257974241,2042696
192.36,5,2.000,2816000,5,9175040,0.257974241,2042696
197.5,5,2.000,2816000,5,9175040,0.257974241,2042696
202.68,5,2.000,2816000,5,9175040,0.235454772,2080712
207.88,5,2.000,2816000,5,9175040,0.235454772,2080712
213.11,5,2.000,2816000,5,9175040,0.235454772,2080712
218.3,5,2.000,2816000,5,9175040,0.260103159,2099120
223.49,5,2.000,2816000,5,9175040,0.260103159,2099120
228.7,5,2.000,2816000,5,9175040,0.260103159,2099120
233.89,5,2.000,2816000,5,9175040,0.259688216,2105016
239.06,5,2.000,2816000,5,9175040,0.259688216,2105016
244.26,5,2.000,2816000,5,9175040,0.259688216,2105016
249.51,5,2.000,2816000,5,9175040,0.275118025,2057420
254.71,5,2.000,2816000,5,9175040,0.275118025,2057420
259.89,5,2.000,2816000,5,9175040,0.275118025,2057420
265.04,5,2.000,2816000,5,9175040,0.238118529,2065992
270.26,5,2.000,2816000,5,9175040,0.238118529,2065992
275.43,5,2.000,2816000,5,9175040,0.238118529,2065992
280.59,5,2.000,2816000,5,9175040,0.246825271,2095452
285.76,5,2.000,2816000,5,9175040,0.246825271,2095452
290.94,5,2.000,2816000,5,9175040,0.239441889,2082440
296.14,5,2.000,2816000,5,9175040,0.239441889,2082440
301.31,5,2.000,2816000,5,9175040,0.239441889,2082440
306.49,5,2.000,2816000,5,9175040,0.266999937,2094756
311.69,5,2.000,2816000,5,9175040,0.266999937,2094756
316.86,5,2.000,2816000,5,9175040,0.266999937,2094756
322.04,5,2.000,2816000,5,9175040,0.238250718,2119376
327.26,5,2.000,2816000,5,9175040,0.238250718,2119376
332.41,5,2.000,2816000,5,9175040,0.238250718,2119376
337.59,5,2.000,2816000,5,9175040,0.302483394,2159820
342.78,5,2.000,2816000,5,9175040,0.302483394,2159820
348.04,5,2.000,2816000,5,9175040,0.302483394,2159820
353.21,5,2.000,2816000,5,9175040,0.315649597,2120256
358.37,5,2.000,2816000,5,9175040,0.315649597,2120256
363.58,5,2.000,2816000,5,9175040,0.315649597,2120256
368.78,5,2.000,2816000,5,9175040,0.289906087,2117980
374.0,5,2.000,2816000,5,9175040,0.289906087,2117980
379.18,5,2.000,2816000,5,9175040,0.289906087,2117980
384.36,5,2.000,2816000,5,9175040,0.263904232,2150432
389.59,5,2.000,2816000,5,9175040,0.263904232,2150432
394.81,5,2.000,2816000,5,9175040,0.263904232,2150432
399.96,5,2.000,2816000,5,9175040,0.293082070,2164164
405.19,5,2.000,2816000,5,9175040,0.293082070,2164164
410.36,5,2.000,2816000,5,9175040,0.293082070,2164164
415.54,5,2.000,2816000,5,9175040,0.252515335,2115928
420.72,5,2.000,2816000,5,9175040,0.252515335,2115928
426.02,5,2.000,2816000,5,9175040,0.304962342,2166364
431.2,5,2.000,2816000,5,9175040,0.304962342,2166364
436.41,5,2.000,2816000,5,9175040,0.304962342,2166364
441.61,5,2.000,2816000,5,9175040,0.265158373,2192052
446.81,5,2.000,2816000,5,9175040,0.265158373,2192052
452.0,5,2.000,2816000,5,9175040,0.265158373,2192052
457.19,5,2.000,2816000,5,9175040,0.296174934,2167076
462.37,5,2.000,2816000,5,9175040,0.296174934,2167076
467.55,5,2.000,2816000,5,9175040,0.296174934,2167076
472.7,5,2.000,2816000,5,9175040,0.320454440,2205848
477.86,5,2.000,2816000,5,9175040,0.320454440,2205848
483.12,5,2.000,2816000,5,9175040,0.320454440,2205848
